player,dealer,ace,action
21,19,False,0
1,20,False,1
2,20,False,1
3,20,False,1
4,20,False,1
5,20,False,1
6,20,False,1
7,20,False,1
8,20,False,1
9,20,False,1
10,20,False,1
11,20,False,1
12,20,False,1
13,20,False,1
14,20,False,1
15,20,False,1
16,20,False,1
17,20,False,1
18,20,False,1
19,20,False,1
20,20,False,0
21,20,False,0
1,21,False,1
2,21,False,1
3,21,False,1
4,21,False,1
5,21,False,1
6,21,False,1
7,21,False,1
8,21,False,1
9,21,False,1
10,21,False,1
11,21,False,1
12,21,False,1
13,21,False,1
14,21,False,1
15,21,False,1
16,21,False,1
17,21,False,1
18,21,False,1
19,21,False,1
20,21,False,0
21,21,False,0
1,1,True,1
2,1,True,1
3,1,True,1
4,1,True,1
5,1,True,1
6,1,True,1
7,1,True,1
8,1,True,1
9,1,True,1
10,1,True,1
11,1,True,1
12,1,True,1
13,1,True,1
14,1,True,1
15,1,True,1
16,1,True,1
17,1,True,1
18,1,True,1
19,1,True,1
20,1,True,1
21,1,True,1
1,2,True,1
2,2,True,1
3,2,True,1
4,2,True,1
5,2,True,1
6,2,True,1
7,2,True,1
8,2,True,1
9,2,True,1
10,2,True,1
11,2,True,1
12,2,True,1
13,2,True,1
14,2,True,1
15,2,True,1
16,2,True,1
17,2,True,1
18,2,True,1
19,2,True,1
20,2,True,1
21,2,True,1
1,3,True,1
2,3,True,1
3,3,True,1
4,3,True,1
5,3,True,1
6,3,True,1
7,3,True,1
8,3,True,1
9,3,True,1
10,3,True,1
11,3,True,1
12,3,True,1
13,3,True,1
14,3,True,1
15,3,True,1
16,3,True,1
17,3,True,1
18,3,True,1
19,3,True,1
20,3,True,1
21,3,True,1
1,4,True,1
2,4,True,1
3,4,True,1
4,4,True,1
5,4,True,1
6,4,True,1
7,4,True,1
8,4,True,1
9,4,True,1
10,4,True,1
11,4,True,1
12,4,True,1
13,4,True,1
14,4,True,1
15,4,True,1
16,4,True,1
17,4,True,1
18,4,True,1
19,4,True,1
20,4,True,1
21,4,True,1
1,5,True,1
2,5,True,1
3,5,True,1
4,5,True,1
5,5,True,1
6,5,True,1
7,5,True,1
8,5,True,1
9,5,True,1
10,5,True,1
11,5,True,1
12,5,True,1
13,5,True,1
14,5,True,1
15,5,True,1
16,5,True,1
17,5,True,1
18,5,True,1
19,5,True,1
20,5,True,1
21,5,True,1
1,6,True,1
2,6,True,1
3,6,True,1
4,6,True,1
5,6,True,1
6,6,True,1
7,6,True,1
8,6,True,1
9,6,True,1
10,6,True,1
11,6,True,1
12,6,True,1
13,6,True,1
14,6,True,1
15,6,True,1
16,6,True,1
17,6,True,1
18,6,True,1
19,6,True,1
20,6,True,1
21,6,True,1
1,7,True,1
2,7,True,1
3,7,True,1
4,7,True,1
5,7,True,1
6,7,True,1
7,7,True,1
8,7,True,1
9,7,True,1
10,7,True,1
11,7,True,1
12,7,True,1
13,7,True,1
14,7,True,1
15,7,True,1
16,7,True,1
17,7,True,1
18,7,True,1
19,7,True,1
20,7,True,1
21,7,True,1
1,8,True,1
2,8,True,1
3,8,True,1
4,8,True,1
5,8,True,1
6,8,True,1
7,8,True,1
8,8,True,1
9,8,True,1
10,8,True,1
11,8,True,1
12,8,True,1
13,8,True,1
14,8,True,1
15,8,True,1
16,8,True,1
17,8,True,1
18,8,True,1
19,8,True,1
20,8,True,1
21,8,True,1
1,9,True,1
2,9,True,1
3,9,True,1
4,9,True,1
5,9,True,1
6,9,True,1
7,9,True,1
8,9,True,1
9,9,True,1
10,9,True,1
11,9,True,1
12,9,True,1
13,9,True,1
14,9,True,1
15,9,True,1
16,9,True,1
17,9,True,1
18,9,True,1
19,9,True,1
20,9,True,1
21,9,True,1
1,10,True,1
2,10,True,1
3,10,True,1
4,10,True,1
5,10,True,1
6,10,True,1
7,10,True,1
8,10,True,1
9,10,True,1
10,10,True,1
11,10,True,1
12,10,True,1
13,10,True,1
14,10,True,1
15,10,True,1
16,10,True,1
17,10,True,1
18,10,True,1
19,10,True,1
20,10,True,1
21,10,True,1
1,11,True,1
2,11,True,1
3,11,True,1
4,11,True,1
5,11,True,1
6,11,True,1
7,11,True,1
8,11,True,1
9,11,True,1
10,11,True,1
11,11,True,1
12,11,True,1
13,11,True,1
14,11,True,1
15,11,True,1
16,11,True,1
17,11,True,1
18,11,True,1
19,11,True,1
20,11,True,1
21,11,True,1
1,12,True,1
2,12,True,1
3,12,True,1
4,12,True,1
5,12,True,1
6,12,True,1
7,12,True,1
8,12,True,1
9,12,True,1
10,12,True,1
11,12,True,1
12,12,True,1
13,12,True,1
14,12,True,1
15,12,True,1
16,12,True,1
17,12,True,1
18,12,True,1
19,12,True,1
20,12,True,1
21,12,True,1
1,13,True,1
2,13,True,1
3,13,True,1
4,13,True,1
5,13,True,1
6,13,True,1
7,13,True,1
8,13,True,1
9,13,True,1
10,13,True,1
11,13,True,1
12,13,True,1
13,13,True,1
14,13,True,1
15,13,True,1
16,13,True,1
17,13,True,1
18,13,True,1
19,13,True,1
20,13,True,1
21,13,True,1
1,14,True,1
2,14,True,1
3,14,True,1
4,14,True,1
5,14,True,1
6,14,True,1
7,14,True,1
8,14,True,1
9,14,True,1
10,14,True,1
11,14,True,1
12,14,True,1
13,14,True,1
14,14,True,1
15,14,True,1
16,14,True,1
17,14,True,1
18,14,True,1
19,14,True,1
20,14,True,1
21,14,True,1
1,15,True,1
2,15,True,1
3,15,True,1
4,15,True,1
5,15,True,1
6,15,True,1
7,15,True,1
8,15,True,1
9,15,True,1
10,15,True,1
11,15,True,1
12,15,True,1
13,15,True,1
14,15,True,1
15,15,True,1
16,15,True,1
17,15,True,1
18,15,True,1
19,15,True,1
20,15,True,1
21,15,True,1
1,16,True,1
2,16,True,1
3,16,True,1
4,16,True,1
5,16,True,1
6,16,True,1
7,16,True,1
8,16,True,1
9,16,True,1
10,16,True,1
11,16,True,1
12,16,True,1
13,16,True,1
14,16,True,1
15,16,True,1
16,16,True,1
17,16,True,1
18,16,True,1
19,16,True,1
20,16,True,1
21,16,True,1
1,17,True,1
2,17,True,1
3,17,True,1
4,17,True,1
5,17,True,1
6,17,True,1
7,17,True,1
8,17,True,1
9,17,True,1
10,17,True,1
11,17,True,1
12,17,True,1
13,17,True,1
14,17,True,1
